species_name,birdlife_id,birdlife_common_name,ebird_id,ebird_common_name,ebird_species_fullname,ebird_species_name,jetz_species_name
Reinwardtoena browni,22690596,Pied Cuckoo-dove,2165,Pied Cuckoo-Dove,Reinwardtoena browni,Reinwardtoena browni,Reinwardtoena_browni
Reinwardtoena crassirostris,22690600,Crested Cuckoo-dove,2166,Crested Cuckoo-Dove,Reinwardtoena crassirostris,Reinwardtoena crassirostris,Reinwardtoena_crassirostris
Patagioenas leucocephala,22690229,White-crowned Pigeon,1976,White-crowned Pigeon,Patagioenas leucocephala,Patagioenas leucocephala,Patagioenas_leucocephala
Patagioenas squamosa,22690241,Scaly-naped Pigeon,1968,Scaly-naped Pigeon,Patagioenas squamosa,Patagioenas squamosa,Patagioenas_squamosa
Patagioenas speciosa,22690235,Scaled Pigeon,1967,Scaled Pigeon,Patagioenas speciosa,Patagioenas speciosa,Patagioenas_speciosa
Patagioenas corensis,22690247,Bare-eyed Pigeon,1972,Bare-eyed Pigeon,Patagioenas corensis,Patagioenas corensis,Patagioenas_corensis
Patagioenas picazuro,22690253,Picazuro Pigeon,1969,Picazuro Pigeon,Patagioenas picazuro,Patagioenas picazuro,Patagioenas_picazuro
Patagioenas maculosa,22728285,Spot-winged Pigeon,1973,Spot-winged Pigeon,Patagioenas maculosa,Patagioenas maculosa,Patagioenas_maculosa
Patagioenas maculosa,22728285,Spot-winged Pigeon,1974,Spot-winged Pigeon (albipennis),Patagioenas maculosa albipennis,Patagioenas maculosa,Patagioenas_maculosa
Patagioenas maculosa,22728285,Spot-winged Pigeon,1975,Spot-winged Pigeon (maculosa),Patagioenas maculosa maculosa,Patagioenas maculosa,Patagioenas_maculosa
Patagioenas fasciata,22725264,Northern Band-tailed Pigeon,1986,Band-tailed Pigeon,Patagioenas fasciata,Patagioenas fasciata,Patagioenas_fasciata
Patagioenas fasciata,22725264,Northern Band-tailed Pigeon,1987,Band-tailed Pigeon (Northern),Patagioenas fasciata [fasciata Group],Patagioenas fasciata,Patagioenas_fasciata
Patagioenas fasciata,22725264,Northern Band-tailed Pigeon,1991,Band-tailed Pigeon (Viosca's),Patagioenas fasciata vioscae,Patagioenas fasciata,Patagioenas_fasciata
Patagioenas fasciata,22725264,Northern Band-tailed Pigeon,1992,Band-tailed Pigeon (White-necked),Patagioenas fasciata [albilinea Group],Patagioenas fasciata,Patagioenas_fasciata
Patagioenas araucana,22690273,Chilean Pigeon,1997,Chilean Pigeon,Patagioenas araucana,Patagioenas araucana,Patagioenas_araucana
Patagioenas caribaea,22690281,Ring-tailed Pigeon,1998,Ring-tailed Pigeon,Patagioenas caribaea,Patagioenas caribaea,Patagioenas_caribaea
Patagioenas cayennensis,22690290,Pale-vented Pigeon,1960,Pale-vented Pigeon,Patagioenas cayennensis,Patagioenas cayennensis,Patagioenas_cayennensis
Patagioenas flavirostris,22690296,Red-billed Pigeon,1977,Red-billed Pigeon,Patagioenas flavirostris,Patagioenas flavirostris,Patagioenas_flavirostris
Patagioenas oenops,22690302,Peruvian Pigeon,1999,Peruvian Pigeon,Patagioenas oenops,Patagioenas oenops,Patagioenas_oenops
Patagioenas inornata,22690312,Plain Pigeon,1982,Plain Pigeon,Patagioenas inornata,Patagioenas inornata,Patagioenas_inornata
Patagioenas plumbea,22690321,Plumbeous Pigeon,2000,Plumbeous Pigeon,Patagioenas plumbea,Patagioenas plumbea,Patagioenas_plumbea
Patagioenas subvinacea,22690328,Ruddy Pigeon,2007,Ruddy Pigeon,Patagioenas subvinacea,Patagioenas subvinacea,Patagioenas_subvinacea
Patagioenas subvinacea,22690328,Ruddy Pigeon,2008,Ruddy Pigeon (Berlepsch's),Patagioenas subvinacea subvinacea/berlepschi,Patagioenas subvinacea,Patagioenas_subvinacea
