city_id,city_name,ebird_species_name,seasonal,presence,origin,relative_abundance_proxy
347,San Pedro Sula,Patagioenas speciosa,Resident,Extant,Native,0
347,San Pedro Sula,Zenaida macroura,Non-breeding Season,Extant,Native,0
347,San Pedro Sula,Zentrygon albifacies,Resident,Extant,Native,0
351,Oklahoma City,Columba livia,Resident,Extant,Introduced,31.990776921479664
351,Oklahoma City,Streptopelia decaocto,Resident,Extant,Introduced,48.65140515036986
351,Oklahoma City,Zenaida macroura,Resident,Extant,Native,43.099267666997704
352,Mérida,Claravis pretiosa,Resident,Extant,Native,0
352,Mérida,Columba livia,Resident,Extant,Introduced,44.71009667007761
352,Mérida,Columbina passerina,Resident,Extant,Native,7.73961498489223
352,Mérida,Columbina talpacoti,Resident,Extant,Native,71.11276003709496
352,Mérida,Leptotila verreauxi,Resident,Extant,Native,6.088115349483172
352,Mérida,Patagioenas flavirostris,Resident,Extant,Native,2.075602795040847
352,Mérida,Streptopelia decaocto,Resident,Extant,Introduced,57.4666525026545
352,Mérida,Zenaida asiatica,Resident,Extant,Native,89.82574306010592
352,Mérida,Zenaida macroura,Non-breeding Season,Extant,Native,0.6764572581813998
361,Tegucigalpa,Columba livia,Resident,Extant,Introduced,69.5877983393442
361,Tegucigalpa,Columbina inca,Resident,Extant,Native,57.12479115799762
361,Tegucigalpa,Columbina passerina,Resident,Extant,Native,23.074694091344433
361,Tegucigalpa,Columbina talpacoti,Resident,Extant,Native,68.4156729893279
361,Tegucigalpa,Leptotila verreauxi,Resident,Extant,Native,11.251990964642184
361,Tegucigalpa,Paraclaravis mondetoura,Resident,Extant,Native,0
361,Tegucigalpa,Patagioenas fasciata,Resident,Extant,Native,0
361,Tegucigalpa,Patagioenas flavirostris,Resident,Extant,Native,32.976875494388
361,Tegucigalpa,Zenaida asiatica,Resident,Extant,Native,85.14636560819244
361,Tegucigalpa,Zenaida macroura,Non-breeding Season,Extant,Native,2.42870745544853
361,Tegucigalpa,Zentrygon albifacies,Resident,Extant,Native,0.8095691483786881
364,Calgary,Columba livia,Resident,Extant,Introduced,54.070077478355834
364,Calgary,Streptopelia decaocto,Resident,Extant,Introduced,5.399117844036079
364,Calgary,Zenaida macroura,Breeding Season,Extant,Native,2.780284618861544
369,Managua,Claravis pretiosa,Resident,Extant,Native,0
369,Managua,Columba livia,Resident,Extant,Introduced,52.793879266903666
369,Managua,Columbina inca,Resident,Extant,Native,37.21887128040859
369,Managua,Columbina passerina,Resident,Extant,Native,7.291575840650652
369,Managua,Columbina talpacoti,Resident,Extant,Native,70.33733205936122
369,Managua,Leptotila verreauxi,Resident,Extant,Native,12.275583634776645
369,Managua,Patagioenas flavirostris,Resident,Extant,Native,60.45498932790276
369,Managua,Zenaida asiatica,Resident,Extant,Native,93.60785703700692
369,Managua,Zenaida macroura,Non-breeding Season,Extant,Native,3.761246447379984
394,San José,Claravis pretiosa,Resident,Extant,Native,0.12155109821209298
394,San José,Columba livia,Resident,Extant,Introduced,38.48642476692054
394,San José,Columbina inca,Resident,Extant,Native,57.721024318049864
394,San José,Columbina passerina,Resident,Extant,Native,18.76174329705076
394,San José,Columbina talpacoti,Resident,Extant,Native,8.285918194265578
394,San José,Leptotila cassinii,Resident,Extant,Native,0.720406976564519
394,San José,Leptotila verreauxi,Resident,Extant,Native,30.59106519121651
394,San José,Paraclaravis mondetoura,Resident,Extant,Native,0
394,San José,Patagioenas fasciata,Resident,Extant,Native,3.9017103277902834
394,San José,Patagioenas flavirostris,Resident,Extant,Native,64.85333326606005
394,San José,Patagioenas subvinacea,Resident,Extant,Native,0.7851460332944133
394,San José,Zenaida asiatica,Resident,Extant,Native,81.17575295002267
394,San José,Zenaida macroura,Resident,Extant,Native,4.0876867081496995
394,San José,Zentrygon chiriquensis,Resident,Extant,Native,0
394,San José,Zentrygon costaricensis,Resident,Extant,Native,0
396,Cancún,Claravis pretiosa,Resident,Extant,Native,1.9088087071149753
396,Cancún,Columba livia,Resident,Extant,Introduced,36.341624050228546
396,Cancún,Columbina passerina,Resident,Extant,Native,5.726426145659741
396,Cancún,Columbina talpacoti,Resident,Extant,Native,51.95424360320308
396,Cancún,Leptotila jamaicensis,Resident,Extant,Native,0
396,Cancún,Leptotila verreauxi,Resident,Extant,Native,13.445271918399303
396,Cancún,Patagioenas flavirostris,Resident,Extant,Native,53.15312776585667
396,Cancún,Patagioenas leucocephala,Resident,Extant,Native,19.253014078749416
396,Cancún,Patagioenas speciosa,Resident,Extant,Native,0
396,Cancún,Streptopelia decaocto,Resident,Extant,Introduced,76.55063351765465
396,Cancún,Zenaida asiatica,Resident,Extant,Native,41.17047530551901
396,Cancún,Zenaida aurita,Resident,Extant,Native,0
