city_id,city_name,total_city_checklists,total_city_effort,total_city_area_m2,total_city_area_surveyed_m2,percentage_total_city_area_surveyed,jetz_species_name,percentage_checklists,percentage_effort,percentage_surveyed_area,seasonal,presence,origin
154,Cuernavaca,786,33143,218946013,73244553.76,33,Columbina_inca,44.02,48.47,60.42978181699553,Resident,Extant,Native
154,Cuernavaca,786,33143,218946013,73244553.76,33,Columbina_passerina,0.25,0.08,2.1435547210029173,Resident,Extant,Native
154,Cuernavaca,786,33143,218946013,73244553.76,33,Columbina_talpacoti,0.51,0.56,2.756984371311432,NA,NA,NA
154,Cuernavaca,786,33143,218946013,73244553.76,33,Leptotila_verreauxi,0.64,1.31,3.704563343905339,NA,NA,NA
154,Cuernavaca,786,33143,218946013,73244553.76,33,Patagioenas_fasciata,0.25,0.72,1.776964993553945,Resident,Extant,Native
154,Cuernavaca,786,33143,218946013,73244553.76,33,Streptopelia_decaocto,8.52,16.13,16.373958723671798,Resident,Extant,Introduced
154,Cuernavaca,786,33143,218946013,73244553.76,33,Zenaida_asiatica,0.38,0.1,3.215417268725537,Non-breeding Season,Extant,Native
154,Cuernavaca,786,33143,218946013,73244553.76,33,Zenaida_macroura,0.38,0.68,3.215417268725537,Resident,Extant,Native
155,Mexico City,8603,377393,NA,608943989.19,28,Columba_livia,31.7,43.29,50.736858468866494,Resident,Extant,Introduced
155,Mexico City,8603,377393,NA,608943989.19,28,Columbina_inca,59.86,71.5,70.90393921850216,Resident,Extant,Native
155,Mexico City,8603,377393,NA,608943989.19,28,Columbina_passerina,0.06,0.09,0.5156726112325943,NA,NA,NA
155,Mexico City,8603,377393,NA,608943989.19,28,Patagioenas_fasciata,0.01,0.01,0.1289181523976018,Resident,Extant,Native
155,Mexico City,8603,377393,NA,608943989.19,28,Streptopelia_decaocto,4.92,4.6,22.962511303543096,Resident,Extant,Introduced
